Disease Name,Drug Name
"Crohn's Disease, Acute","adalimumab, azathioprine, betamethasone, budesonide, certolizumab, ciprofloxacin, dexamethasone, hydrocortisone, infliximab, mercaptopurine, metronidazole, prednisolone, prednisone, sulfasalazine"
"Crohn's Disease, Maintenance","adalimumab, azathioprine, budesonide, certolizumab, infliximab, mercaptopurine, mesalamine, metronidazole, natalizumab, sulfasalazine, vedolizumab"
Croup,dexamethasone
Crow's Feet,onabotulinumtoxinA
Cryopyrin-Associated Periodic Syndromes,"anakinra, canakinumab, rilonacept"
"Cryptococcal Meningitis, Immunocompetent Host","amphotericin b, fluconazole, flucytosine"
"Cryptococcal Meningitis, Immunosuppressed Host","amphotericin b, amphotericin b liposomal, fluconazole, flucytosine, itraconazole"
Cryptococcosis,"amphotericin b, amphotericin b lipid complex, amphotericin b liposomal, fluconazole, flucytosine, itraconazole"
Cryptosporidiosis,"nitazoxanide, paromomycin"
Cushing's Syndrome,"corticorelin, cyproheptadine, dexamethasone, mifepristone, pasireotide"
Cutaneous Bacillus anthracis,"amoxicillin, ciprofloxacin, doxycycline, moxifloxacin, penicillin g potassium, procaine penicillin"
Cutaneous Candidiasis,"ciclopirox, clotrimazole, econazole, ketoconazole, miconazole, nystatin, nystatin ,  triamcinolone, terbinafine"
Cutaneous Fungal Infection,voriconazole
Cutaneous Larva Migrans,"albendazole, ivermectin"
Cutaneous Mastocytosis,"cimetidine, famotidine, ranitidine"
Cutaneous Sporotrichosis,potassium iodide
Cutaneous T-cell Lymphoma,"bexarotene, clobetasol, interferon gamma-1b, methoxsalen, romidepsin, vorinostat"
Cyanide Poisoning,"amyl nitrite, hydroxocobalamin, sodium nitrite, sodium nitrite ,  sodium thiosulfate, sodium thiosulfate"
Cyclic Vomiting Syndrome,"amitriptyline, nortriptyline, sumatriptan, zolmitriptan"
Cyclitis,"dexamethasone, loteprednol, loteprednol ,  tobramycin"
Cyclothymic Disorder,"carbamazepine, divalproex sodium, lamotrigine, lithium, oxcarbazepine"
Cystic Fibrosis,"amikacin, azithromycin, aztreonam, dornase alfa, gentamicin, ivacaftor, ivacaftor ,  lumacaftor, pancrelipase, tobramycin, vitamin e"
Cysticercus cellulosae,"albendazole, praziquantel"
Cystinuria,"captopril, penicillamine, tiopronin"
Cystourethrography,iohexol
Cytokine Release Syndrome,tocilizumab
Dandruff,"ketoconazole, pyrithione zinc, salicylic acid, salicylic acid ,  sulfur, selenium sulfide"
Deep Neck Infection,"ampicillin ,  sulbactam, cefoxitin, cilastatin ,  imipenem, clindamycin, metronidazole, penicillin g potassium, penicillin g sodium, piperacillin ,  tazobactam"
Deep Vein Thrombosis,"apixaban, dabigatran, edoxaban, enoxaparin, fondaparinux, heparin, rivaroxaban, urokinase"
Deep Vein Thrombosis Prophylaxis after Abdominal Surgery,"dalteparin, enoxaparin, fondaparinux"
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,"apixaban, dalteparin, enoxaparin, fondaparinux, rivaroxaban, warfarin"
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,"apixaban, enoxaparin, fondaparinux, rivaroxaban, warfarin"
Deep Vein Thrombosis Prophylaxis after Orthopedic Surgery,dalteparin
"Deep Vein Thrombosis, First Event",warfarin
"Deep Vein Thrombosis, Prophylaxis","apixaban, dabigatran, dalteparin, desirudin, enoxaparin, fondaparinux, heparin, rivaroxaban"
"Deep Vein Thrombosis, Recurrent Event","rivaroxaban, warfarin"
Deep Vein Thrombosis/Pulmonary Embolism Prophylaxis Following Hip Replacement Surgery,dabigatran
Dehydration,lvp solution
"Delayed Puberty, Male","fluoxymesterone, methyltestosterone, testosterone"
Dementia,"ergoloid mesylates, haloperidol"
Dengue Fever,acetaminophen
Dental Abscess,"amoxicillin, clarithromycin, erythromycin, metronidazole"
Depression,"bupropion, citalopram, duloxetine, escitalopram, fluoxetine, mirtazapine, paroxetine, sertraline, trazodone, venlafaxine"
Depressive Psychosis,"amitriptyline, olanzapine"
Dercum's Disease,"fentanyl, pregabalin"
"Dermal Necrosis, Prophylaxis",triamcinolone
"Dermal Necrosis, Treatment",phentolamine
Dermal Ulcer,"becaplermin, cadexomer iodine, collagenase"
Dermatitis,"betamethasone, clobetasol, desonide, desoximetasone, fluocinolone, fluocinonide, fluticasone, hydrocortisone, mometasone, prednisolone, triamcinolone"
Dermatitis Herpetiformis,"dapsone, dexamethasone, prednisone"
Dermatofibrosarcoma Protuberans,imatinib
Dermatographism,carbinoxamine
Dermatologic Lesion,"balsam peru ,  castor oil, balsam peru ,  castor oil ,  trypsin, fluticasone, methylprednisolone, sodium hyaluronate, zinc oxide"
Dermatological Disorders,"betamethasone, clobetasol, hydrocortisone ,  pramoxine, hydroquinone, salicylic acid, silver, triamcinolone, urea"
Dermatomyositis,"azathioprine, cortisone, cyclophosphamide, hydroxychloroquine, methotrexate, mycophenolate mofetil, mycophenolic acid, prednisone"
Dermatophytosis,"griseofulvin, itraconazole, ketoconazole"
Diabetes Insipidus,"desmopressin, hydrochlorothiazide, vasopressin"
Diabetes Mellitus,"insulin aspart ,  insulin degludec, insulin degludec"
"Diabetes, Type 1","insulin aspart, insulin glargine, insulin glulisine, insulin lispro, insulin regular"
"Diabetes, Type 2","glimepiride, glipizide, liraglutide, metformin, metformin ,  sitagliptin, pioglitazone, sitagliptin"
"Diabetes, Type 3c",metformin
Diabetic Ketoacidosis,"insulin aspart, insulin glulisine, insulin lispro, insulin regular, sodium bicarbonate"
Diabetic Kidney Disease (Diabetic Nephropathy),"benazepril, canagliflozin, captopril, enalapril, fosinopril, irbesartan, lisinopril, losartan, moexipril, perindopril, quinapril, ramipril, trandolapril"
Diabetic Macular Edema,"aflibercept, dexamethasone, fluocinolone, ranibizumab"
Diabetic Peripheral Neuropathy,"capsaicin, carbamazepine, duloxetine, gabapentin, mexiletine, nortriptyline, pregabalin, tapentadol, topiramate"
Diabetic Retinopathy,"aflibercept, ranibizumab"
Diagnosis and Investigation,"glucagon, iobenguane I 123, mannitol, methacholine, metyrapone, regadenoson, sodium iodide-i-131, tetrofosmin, tuberculin purified protein derivative"
Diagnostic Bronchograms,acetylcysteine
Diaper Rash,"lanolin, menthol ,  zinc oxide, miconazole ,  zinc oxide, vitamin a & d, vitamins a, d, and e, zinc oxide"
Diarrhea,"atropine ,  diphenoxylate, bismuth subsalicylate, codeine, loperamide, neomycin, octreotide, opium, rifaximin, saccharomyces boulardii lyo"
"Diarrhea, Acute","atropine ,  difenoxin, loperamide, loperamide ,  simethicone"
"Diarrhea, Chronic","atropine ,  difenoxin, bismuth subsalicylate, colesevelam, loperamide"
Dientamoeba fragilis,"metronidazole, paromomycin"
Dietary Fiber Supplementation,psyllium
Dietary Supplementation,"ascorbic acid, bifidobacterium infantis ,  lactobacillus acidophilus, biotin, calcium ,  vitamin d, calcium citrate, chondroitin ,  glucosamine, multivitamin, omega-3 polyunsaturated fatty acids, vitamin e"
Diffuse Idiopathic Skeletal Hyperostosis,"ibuprofen, naproxen"
Diffuse Large B-Cell Lymphoma,"axicabtagene ciloleucel, cyclophosphamide, doxorubicin, hyaluronidase ,  rituximab, polatuzumab vedotin, prednisone, rituximab, tisagenlecleucel, vincristine"
Digital Subtraction Angiography,iohexol
Digitalis Glycoside Toxicity,digoxin immune fab
Diphtheria,"penicillin g potassium, penicillin g sodium, procaine penicillin"
Diphtheria Prophylaxis,"diphtheria and tetanus toxoids ,  pertussis, acellular, diphtheria and tetanus toxoids ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  haemophilus b conjugate ,  hepatitis b vaccine, diphtheria toxoid ,  haemophilus b conjugate (prp-t) vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  hepatitis b pediatric vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  pertussis, acellular ,  tetanus toxoid, diphtheria toxoid ,  tetanus toxoid"
Dissociative Identity Disorder,"citalopram, fluoxetine, sertraline, venlafaxine"
Diverticulitis,"ciprofloxacin, clindamycin, metronidazole, sulfamethoxazole ,  trimethoprim"
Dog Tapeworm Infection (Dipylidium caninum),"paromomycin, praziquantel"
Dracunculiasis,"mebendazole, metronidazole"
Dravet Syndrome,"cannabidiol, stiripentol"
Drowsiness (Hypersomnia),"armodafinil, caffeine, dextroamphetamine, modafinil"
Drug Induced Vitamin/Mineral Deficiency,pyridoxine
Dry Eye Disease (Keratoconjunctivitis Sicca),"cyclosporine, hydroxypropyl methylcellulose, lifitegrast"
Dry Skin (Xerosis),"ammonium lactate, emollients, urea"
Duchenne Muscular Dystrophy,"deflazacort, eteplirsen, golodirsen"
Dumping Syndrome,"acarbose, cholestyramine, methscopolamine, octreotide, pantoprazole"
Duodenal Ulcer,"atropine ,  hyoscyamine ,  phenobarbital ,  scopolamine, calcium carbonate, famotidine, lansoprazole, omeprazole, pantoprazole, rabeprazole, ranitidine, sucralfate"
Duodenal Ulcer Prophylaxis,"cimetidine, esomeprazole, famotidine, lansoprazole, rabeprazole, ranitidine, sucralfate"
Dupuytren's contracture,collagenase clostridium histolyticum
Dwarf Tapeworm Infection (Hymenolepis nana),"nitazoxanide, paromomycin, praziquantel"
Dysautonomia,"alprazolam, amitriptyline, fludrocortisone, fluoxetine, ibuprofen, lorazepam, midodrine, naproxen, nortriptyline, paroxetine, pyridostigmine, sertraline"
Dyslipidemia,"fluvastatin, pitavastatin"
Dyspareunia,"dehydroepiandrosterone, estradiol, ospemifene"
Dystonia,"baclofen, carbamazepine, onabotulinumtoxinA"
Dysuria,"flavoxate, oxybutynin, phenazopyridine"
Ear Wax Impaction,carbamide peroxide
Ebola Zaire Disease Prophylaxis,"ebola zaire vaccine, live"
Echinococcus,"albendazole, mebendazole, praziquantel"
Echocardiography,perflutren
Ectopic Pregnancy,methotrexate
Eczema,"alclometasone, azathioprine, clobetasol, desonide, desoximetasone, dexamethasone, fluocinolone, fluocinonide, halobetasol, hydrocortisone, methotrexate, mometasone, pimecrolimus, prednisone, ranitidine, triamcinolone"
Edema,"acetazolamide, bumetanide, chlorthalidone, furosemide, hydrochlorothiazide, hydrochlorothiazide ,  spironolactone, hydrochlorothiazide ,  triamterene, metolazone, pamabrom, spironolactone, torsemide, triamterene"
Ehrlichiosis,"doxycycline, tetracycline"
Electromechanical Dissociation,"calcium chloride, epinephrine"
Emergency Contraception (Postcoital Contraception),"ethinyl estradiol ,  levonorgestrel, ethinyl estradiol ,  norgestrel, levonorgestrel, ulipristal"
Encephalopathy,methylene blue
Endocarditis,"ampicillin, cefazolin, ceftazidime, ceftriaxone, cilastatin ,  imipenem, daptomycin, gentamicin, metronidazole, oxacillin, rifampin, streptomycin, tobramycin, vancomycin"
Endometrial Cancer,"anastrozole, cyclophosphamide, lenvatinib, medroxyprogesterone, megestrol, pembrolizumab"
Endometrial Hyperplasia,megestrol
"Endometrial Hyperplasia, Prophylaxis","medroxyprogesterone, progesterone"
Endometriosis,"danazol, ethinyl estradiol ,  levonorgestrel, ethinyl estradiol ,  norethindrone, ethinyl estradiol ,  norgestimate, leuprolide, medroxyprogesterone, norethindrone, progesterone"
Endometritis,"cefotaxime, cefoxitin, ceftazidime, ceftriaxone, cilastatin ,  imipenem, gentamicin, piperacillin ,  tazobactam"
Endoscopy or Radiology Premedication,"diazepam, hyoscyamine, iopamidol, simethicone"
Enterobiasis,pyrantel
Enterocolitis,"albendazole, atropine ,  hyoscyamine ,  phenobarbital ,  scopolamine, chlordiazepoxide ,  clidinium, doxycycline, vancomycin"
Enuresis,"belladonna, imipramine"
Eosinophilic Esophagitis,"budesonide, fluticasone"
Eosinophilic Granulomatosis with Polyangiitis,mepolizumab
"Epicondylitis, Tennis Elbow","cortisone, dexamethasone, prednisone"
"Epididymitis, Non-Specific","ceftriaxone, ofloxacin"
"Epididymitis, Sexually Transmitted","ceftriaxone, ciprofloxacin, doxycycline, levofloxacin, ofloxacin, tetracycline"
Epiglottitis,"ampicillin ,  sulbactam, cefotaxime, ceftriaxone, cefuroxime, sulfamethoxazole ,  trimethoprim"
Epilepsy,"carbamazepine, divalproex sodium, gabapentin, lamotrigine, levetiracetam, oxcarbazepine, phenytoin, valproic acid"
Epithelioid Sarcoma,tazemetostat
Erdheim-Chester Disease,vemurafenib
Erectile Dysfunction,"alprostadil, avanafil, sildenafil, tadalafil, vardenafil"
Erosive Esophagitis,"calcium carbonate, dexlansoprazole, esomeprazole, famotidine, lansoprazole, omeprazole, omeprazole ,  sodium bicarbonate, pantoprazole, rabeprazole, ranitidine"
Erythema Mulitforme,corticotropin
Erythroblastopenia,"cortisone, dexamethasone, prednisone, triamcinolone"
Erythromelalgia,gabapentin
Esophageal Candidiasis,"amphotericin b, anidulafungin, caspofungin, fluconazole, itraconazole, ketoconazole, micafungin, voriconazole"
Esophageal Carcinoma,"methotrexate, pembrolizumab, porfimer, trastuzumab"
Esophageal Spasm,"isosorbide dinitrate, isosorbide mononitrate"
Esophageal Variceal Hemorrhage Prophylaxis,"atenolol, nadolol"
Esophageal Varices,ethanolamine oleate
Esophageal Varices with Bleeding,vasopressin
Ethylene Glycol Poisoning,fomepizole
Eumycetoma,voriconazole
Eustachian Tube Dysfunction,"acetaminophen, cetirizine, diphenhydramine, ibuprofen"
Euvolemic Hyponatremia,"conivaptan, tolvaptan"
Evan's Syndrome,"cyclosporine, danazol, dexamethasone, immune globulin intravenous, mycophenolate mofetil, rituximab, vincristine"
Ewing's Sarcoma,"cyclophosphamide, dactinomycin"
Excessive Salivation,glycopyrrolate
Exchange Transfusion,calcium gluconate
Excoriation Disorder,"citalopram, fluoxetine, paroxetine"
Expectoration (Mucolysis),"acetylcysteine, dextromethorphan ,  guaifenesin"
Exposure to Hepatitis B Virus,hepatitis b immune globulin
Extrapyramidal Reaction,"amantadine, benztropine, diphenhydramine, trihexyphenidyl"
Extravasation,"dexrazoxane, hyaluronidase"
Eye Conditions,"ceftriaxone, corticotropin, lutein, natamycin, sulfacetamide sodium"
Eye Redness,"brimonidine, fluorometholone, naphazoline, oxymetazoline, phenylephrine, tetrahydrozoline"
Eye Redness/Itching,"fluorometholone, naphazoline ,  pheniramine, tetrahydrozoline ,  zinc sulfate, triprolidine"
Eyelash Hypotrichosis,"bimatoprost, fluorometholone"
Fabry Disease,"agalsidase beta, migalastat"
Facial Lipoatrophy,poly-l-lactic acid
Facial Wrinkles,"abobotulinumtoxinA, azficel-t, incobotulinumtoxinA, onabotulinumtoxinA, tazarotene"
Factor IX Deficiency,"coagulation factor ix, factor ix complex, tranexamic acid"
Factor VII Deficiency,"coagulation factor viia, factor ix complex"
Factor X Deficiency,coagulation factor x
Factor XIII Deficiency,factor XIII
Failure to Thrive,cyproheptadine
Fallopian Tube Cancer,"bevacizumab, niraparib"
Familial Adenomatous Polyposis,"celecoxib, sulindac"
Familial Cold Autoinflammatory Syndrome,"canakinumab, rilonacept"
Familial Hypophosphatemia,ergocalciferol
Familial Mediterranean Fever,"canakinumab, colchicine"
Fascioliasis,triclabendazole
"Fasciolopsis buski, Intestinal Fluke",praziquantel
Fatigue,"amantadine, amphetamine ,  dextroamphetamine, dextroamphetamine, methylphenidate, modafinil"
Febrile Neutropenia,"amikacin, amoxicillin ,  clavulanate, amphotericin b liposomal, caspofungin, cefepime, ceftazidime, cilastatin ,  imipenem, ciprofloxacin, gentamicin, itraconazole, piperacillin ,  tazobactam, vancomycin"
Fecal Incontinence,"dextranomer ,  sodium hyaluronate"
Felty's Syndrome,auranofin
Female Infertility,"chorionic gonadotropin (hcg), clomiphene, letrozole, leuprolide, menotropins, metformin, urofollitropin"
Fever,"acetaminophen, aspirin, ibuprofen, naproxen"
Fibrinolytic Bleeding,aminocaproic acid
Fibrocystic Breast Disease,danazol
Fibromatosis,"celecoxib, colchicine"
Fibromyalgia,"amitriptyline, armodafinil, cyclobenzaprine, duloxetine, escitalopram, fluoxetine, gabapentin, guaifenesin, meloxicam, metaxalone, milnacipran, nabilone, naltrexone, prednisone, pregabalin, sodium oxybate, topiramate, tramadol, trazodone, venlafaxine"
"Filariasis, Elephantiasis","albendazole, ivermectin, mebendazole"
Fish Tapeworm Infection (Diphyllobothrium latum),"paromomycin, praziquantel"
Fluorouracil Overdose,uridine
Focal Segmental Glomerulosclerosis,"corticotropin, cyclosporine, rituximab"
Folic Acid Antagonist Overdose,leucovorin
Folic Acid Deficiency,"folic acid, l-methylfolate"
Follicle Stimulation,"follicle stimulating hormone, menotropins, urofollitropin"
Follicular Lymphoma,"clarithromycin, copanlisib, duvelisib, hyaluronidase ,  rituximab, idelalisib, interferon alfa-2b, obinutuzumab, rituximab"
Foot Care,"salicylic acid ,  urea"
Forehead Lines,"onabotulinumtoxinA, prabotulinumtoxinA"
Frozen Shoulder,"diclofenac, ibuprofen, indomethacin, nabumetone, naproxen, piroxicam, triamcinolone"
Functional Gastric Disorder,simethicone
Fungal Endocarditis,"amphotericin b, flucytosine"
Fungal Infection Prevention,"amphotericin b, fluconazole"
Fungal Infection Prophylaxis,"amphotericin b, fluconazole, gentian violet, itraconazole, micafungin"
"Fungal Infection, Internal and Disseminated","fluconazole, voriconazole"
Fungal Infections,fluconazole
Fungal Meningitis,voriconazole
Fungal Peritonitis,fluconazole
Fungal Pneumonia,"fluconazole, voriconazole"
Fusariosis,voriconazole
"Fusospirochetosis, Trench Mouth","penicillin g potassium, penicillin g sodium, penicillin v potassium, procaine penicillin"
GERD,"dexlansoprazole, esomeprazole, famotidine, lansoprazole, omeprazole, omeprazole ,  sodium bicarbonate, pantoprazole, rabeprazole, ranitidine, sucralfate"
GTP-CH Deficiency,"carbidopa, carbidopa ,  levodopa"
Gallbladder Contraction,sincalide
Gallbladder Disease,"chenodeoxycholic acid, ursodiol"
Gas,"aluminum hydroxide ,  magnesium hydroxide ,  simethicone, simethicone"
Gastric Cancer,"docetaxel, methotrexate, pembrolizumab, ramucirumab, tipiracil ,  trifluridine, trastuzumab"
Gastric Ulcer Maintenance Treatment,ranitidine
Gastric Ulcer Prophylaxis,esomeprazole
Gastrinoma,octreotide
Gastritis/Duodenitis,"esomeprazole, lansoprazole, omeprazole, pantoprazole"
Gastroenteritis,"ampicillin, ceftriaxone, doxycycline, ondansetron, rotavirus vaccine"
Gastrointestinal Candidiasis,nystatin
Gastrointestinal Decontamination,polyethylene glycol 3350 with electrolytes
Gastrointestinal Hemorrhage,"aluminum hydroxide, omeprazole ,  sodium bicarbonate, ranitidine, vasopressin"
Gastrointestinal Perforation,"ciprofloxacin, metronidazole"
Gastrointestinal Stromal Tumor,"avapritinib, imatinib, regorafenib, sunitinib"
Gastrointestinal Surgery,"alvimopan, lidocaine"
Gastrointestinal Tract Examination,"iohexol, lidocaine"
Gastroparesis,metoclopramide
Gaucher Disease,"eliglustat, imiglucerase, miglustat, taliglucerase alfa, velaglucerase alfa"
Gender Dysphoria,"conjugated estrogens, estradiol, medroxyprogesterone, progesterone, spironolactone, testosterone"
Generalized Anxiety Disorder,"citalopram, duloxetine, escitalopram, paroxetine, pregabalin, quetiapine, sertraline, venlafaxine"
Gestational Diabetes,"insulin isophane, insulin isophane ,  insulin regular, insulin regular"
Giant Cell Arteritis,"infliximab, prednisone, tocilizumab"
Giant Cell Tumor of Bone,denosumab
Giardiasis,"albendazole, metronidazole, nitazoxanide, paromomycin, tinidazole"
Gingivitis,"chlorhexidine, hydrocortisone"
Gitelman Syndrome,indomethacin
Glanders,chloramphenicol
Glanzmann's Disease,coagulation factor viia
Glaucoma,"acetazolamide, apraclonidine, brimonidine ,  timolol, carbachol, echothiophate iodide, methazolamide, mitomycin, nadolol, pilocarpine"
"Glaucoma, Narrow Angle",pilocarpine
"Glaucoma, Open Angle","bimatoprost, brimonidine, brimonidine ,  brinzolamide, brinzolamide, dorzolamide, dorzolamide ,  timolol, latanoprost, tafluprost, timolol, travoprost"
Glaucoma/Intraocular Hypertension,"brimonidine ,  timolol, latanoprostene bunod, tafluprost"
Glioblastoma Multiforme,"bevacizumab, carmustine, hydroxyurea, procarbazine, temozolomide"
Glomerulonephritis,"azathioprine, penicillin g benzathine"
Glucagonoma,octreotide
Gnathostomiasis,albendazole
"Gold Poisoning, Severe",dimercaprol
Gonadotropin Inhibition,"desogestrel ,  ethinyl estradiol, ethinyl estradiol ,  levonorgestrel, ethinyl estradiol ,  norethindrone, ethinyl estradiol ,  norgestimate, ganirelix"
"Gonococcal Infection, Disseminated","cefixime, cefotaxime, cefpodoxime, ceftriaxone, cefuroxime, ciprofloxacin, levofloxacin, ofloxacin, penicillin g potassium, penicillin g sodium"
"Gonococcal Infection, Uncomplicated","azithromycin, cefixime, ceftriaxone, cefuroxime, ciprofloxacin, doxycycline, levofloxacin, tetracycline"
Gout,"allopurinol, allopurinol ,  lesinurad, febuxostat, lesinurad, pegloticase, probenecid, rilonacept"
"Gout, Acute","colchicine, ibuprofen, indomethacin, methylprednisolone, naproxen"
"Gout, Prophylaxis",colchicine
Gouty Arthritis,"betamethasone, colchicine ,  probenecid, cortisone, dexamethasone, prednisone, probenecid, triamcinolone"
Graft-versus-host disease,"cyclosporine, ibrutinib, methotrexate, mycophenolate mofetil, prednisone, ruxolitinib, tacrolimus"
Gram Negative Infection,"colistimethate, penicillin g potassium, penicillin g sodium"
Granuloma Annulare,"fluocinonide, halobetasol, isotretinoin"
Granuloma Inguinale,"azithromycin, ciprofloxacin, doxycycline, minocycline, sulfamethoxazole ,  trimethoprim"
Granulomatosis with Polyangiitis,"azathioprine, cyclophosphamide, etanercept, rituximab"
Growth Hormone Reserve Test,"insulin regular, macimorelin"
"Growth Retardation, Chronic Renal Failure",somatropin
Gynecological Conditions,misoprostol
HIV Infection,"abacavir, efavirenz ,  emtricitabine ,  tenofovir, emtricitabine ,  tenofovir, lamivudine, ritonavir, tenofovir"
Haemophilus influenzae Prophylaxis,"diphtheria and tetanus toxoids ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  haemophilus b conjugate ,  hepatitis b vaccine, diphtheria toxoid ,  haemophilus b conjugate (prp-t) vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  hepatitis b pediatric vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, haemophilus b conjugate (prp-omp) vaccine, haemophilus b conjugate (prp-t) vaccine, rifampin"
Hairy Cell Leukemia,"cladribine, interferon alfa-2b, moxetumomab pasudotox, pentostatin"
Hangover,"aspirin ,  caffeine"
Hashimoto's disease (Chronic Lymphocytic Thyroiditis),"levothyroxine, thyroid desiccated"
Head Imaging,"iohexol, ioversol"
Head Injury,"amantadine, risperidone"
Head Lice,"acetic acid, benzyl alcohol, ivermectin, lindane, malathion, permethrin, piperonyl butoxide ,  pyrethrins, sodium chloride, spinosad"
Head and Neck Cancer,"cetuximab, docetaxel, methotrexate, nivolumab, pembrolizumab"
Headache,"acetaminophen ,  butalbital, acetaminophen ,  butalbital ,  caffeine, acetaminophen ,  butalbital ,  caffeine ,  codeine, aspirin ,  butalbital ,  caffeine, ibuprofen, naproxen, trazodone"
Heart Attack (Myocardial Infarction),"aspirin, atenolol, clopidogrel, enoxaparin, lisinopril, metoprolol, nitroglycerin, ramipril, warfarin"
Heart Failure (Congestive Heart Failure),"amlodipine, carvedilol, digoxin, furosemide, hydralazine, isosorbide mononitrate, lisinopril, metoprolol, spironolactone, warfarin"
Heat Stress,electrolyte replacement solutions
Helicobacter Pylori Infection,"amoxicillin, amoxicillin ,  clarithromycin ,  lansoprazole, amoxicillin ,  clarithromycin ,  omeprazole, bismuth subcitrate potassium ,  metronidazole ,  tetracycline, bismuth subsalicylate, clarithromycin, esomeprazole, lansoprazole, metronidazole, omeprazole, pantoprazole, rabeprazole, tetracycline"
Hemangioma,propranolol
Hemochromatosis,deferasirox
Hemolytic Anemia,"cortisone, dexamethasone, triamcinolone"
Hemolytic Uremic Syndrome,"eculizumab, ravulizumab"
Hemophagocytic Lymphohistiocytosis,emapalumab
Hemophilia A,"anti-inhibitor coagulant complex, antihemophilic factor, antihemophilic factor ,  von willebrand factor, desmopressin, tranexamic acid"
Hemophilia A with Inhibitors,"emicizumab, factor ix complex"
Hemophilia B,"coagulation factor ix, coagulation factor viia, factor ix complex"
Hemorrhagic Cystitis Prophylaxis,mesna
Hemorrhoids,"dibucaine, hydrocortisone, hydrocortisone ,  lidocaine, hydrocortisone ,  pramoxine, lidocaine, phenylephrine, pramoxine"
Hemosiderosis,"deferasirox, deferiprone"
Hemostasis,"fibrin sealant, thrombin"
Heparin Overdose,protamine
Hepatic Coma,"neomycin, paromomycin"
Hepatic Encephalopathy,"lactulose, neomycin, rifaximin"
Hepatic Tumor,sorafenib
Hepatic Veno-Occlusive Disease,defibrotide
Hepatitis A,immune globulin intramuscular
Hepatitis A Prophylaxis,"hepatitis a adult vaccine, hepatitis a adult vaccine ,  hepatitis b adult vaccine, hepatitis a pediatric vaccine"
Hepatitis B,"adefovir, entecavir, interferon alfa-2b, lamivudine, peginterferon alfa-2a, peginterferon alfa-2b, tenofovir, tenofovir alafenamide"
Hepatitis B Prevention (Hepatitis B Prophylaxis),"diphtheria and tetanus toxoids ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  haemophilus b conjugate ,  hepatitis b vaccine, diphtheria toxoid ,  hepatitis b pediatric vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, hepatitis a adult vaccine ,  hepatitis b adult vaccine, hepatitis b adult vaccine, hepatitis b pediatric vaccine"
Hepatitis C,"dasabuvir ,  ombitasvir ,  paritaprevir ,  ritonavir, elbasvir ,  grazoprevir, glecaprevir ,  pibrentasvir, interferon alfa-2b, ledipasvir ,  sofosbuvir, peginterferon alfa-2a, peginterferon alfa-2b, ribavirin, sofosbuvir, sofosbuvir ,  velpatasvir, sofosbuvir ,  velpatasvir ,  voxilaprevir"
Hepatocellular Carcinoma,"cabozantinib, lenvatinib, nivolumab, pembrolizumab, ramucirumab, regorafenib, sorafenib"
Herbal Supplementation,bioflavonoids
Hereditary Angioedema,"C1 esterase inhibitor (human), conestat alfa, ecallantide, icatibant, lanadelumab"
Hereditary Orotic Aciduria,uridine
Hereditary Tyrosinemia Type 1,nitisinone
Herniated Disk,"ibuprofen, naproxen"
Herpes Simplex,"acyclovir, allantoin ,  camphor ,  phenol, docosanol, valacyclovir"
Herpes Simplex - Congenital,acyclovir
Herpes Simplex Dendritic Keratitis,ganciclovir
Herpes Simplex Encephalitis,acyclovir
"Herpes Simplex, Mucocutaneous/Immunocompetent Host","acyclovir, famciclovir, valacyclovir"
"Herpes Simplex, Mucocutaneous/Immunocompromised Host","acyclovir, famciclovir, foscarnet, valacyclovir"
"Herpes Simplex, Suppression","acyclovir, famciclovir, valacyclovir"
Herpes Zoster,"acyclovir, famciclovir, prednisone, valacyclovir"
Herpes Zoster Iridocyclitis,prednisone
"Herpes Zoster, Prophylaxis","zoster vaccine live, zoster vaccine, inactivated"
Herpetic Keratitis,"acyclovir, trifluridine"
"Heterophyes heterophyes, Intestinal Fluke",praziquantel
"Heterotopic Ossification, Spinal Cord Injury",etidronate
"Heterotopic Ossification, Total Hip Arthroplasty",etidronate
Hiatal Hernia,"aluminum hydroxide ,  magnesium hydroxide ,  simethicone, aluminum hydroxide ,  magnesium trisilicate, famotidine, lansoprazole, omeprazole, ranitidine"
Hiccups,"baclofen, chlorpromazine, gabapentin, prochlorperazine"
Hidradenitis Suppurativa,adalimumab
